Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2015;6;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceae;Heppiella _sp;Feeding;File002;1922;6:32:10
2015;6;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;na;Gesneriaceae;Heppiella _sp;Feeding;File002;4817;7:20:25
2015;6;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File002;12121;9:22:09
2015;9;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis sp;na;Gesneriaceae;Heppiella _sp;Feeding;File003;7415;8:04:43
2015;9;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceae;Heppiella _sp;Feeding;File003;15388;10:17:36
2015;5;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;male;Gesneriaceae;Heppiella _sp;Feeding;File004;1240;6:20:48
2015;5;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File004;2353;6:39:21
2015;5;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File004;6227;7:43:55
2015;5;7;Verdecocha;Dry;Forest_interior;0;Lafresnaya lafresnayi;na;Gesneriaceae;Heppiella _sp;Feeding;File004;7431;8:03:59
2015;5;7;Verdecocha;Dry;Forest_interior;0;Lafresnaya lafresnayi;na;Gesneriaceae;Heppiella _sp;Feeding;File004;11351;9:09:19
2015;5;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;na;Gesneriaceae;Heppiella _sp;Feeding;File004;13045;9:37:33
2015;5;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;na;Gesneriaceae;Heppiella _sp;Feeding;File004;20069;11:34:37
2015;5;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;female;Gesneriaceae;Heppiella _sp;Feeding;File005;12968;16:36:17
2015;6;7;Verdecocha;Dry;Forest_interior;0;Lafresnaya lafresnayi;na;Gesneriaceae;Heppiella _sp;Feeding;File006;1359;6:22:47
2015;6;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceae;Heppiella _sp;Feeding;File006;6379;7:46:27
2015;6;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File006;6938;7:55:46
2015;6;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File006;11947;9:19:15
2015;6;7;Verdecocha;Dry;Forest_interior;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File007;4881;13:54:12
2015;6;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceae;Heppiella _sp;Feeding;File007;8638;14:56:49
2015;6;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceae;Heppiella _sp;Feeding;File007;8639;14:56:50
2016;7;3;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Ericaceae;Disterigma alalternoides;Feeding;160307AB;58;13:01:06
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160307AB;918;13:15:26
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160307AB;4961;14:22:49
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;Female;Ericaceae;Disterigma alalternoides;Feeding;160307AB;10151;15:49:19
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160307AB;13823;16:50:31
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160307AB;15763;17:22:50
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AA;1341;6:22:29
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160308AA;1729;6:28:57
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160308AA;3353, 3354, 3355;6:56:01
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AA;11280;9:08:08
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AA;17033;10:44:01
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AA;20912;11:48:40
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160308AB;2459;13:41:07
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AB;5679;14:34:47
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AB;9604;15:40:12
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160308AB;9793;15:43:21
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160308AB;16643;17:37:31
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AA;2224;6:37:12
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AA;3259;6:54:27
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AA;3588;6:59:56
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160309AA;5301;7:28:29
